Time,Open,High,Low,Last,Change,Volume,"Open Int"
NQH20,"02/19/2020 14:59",9732,9732.25,9727.75,9728.25,-3.75,3875,N/A
NQH20,"02/19/2020 14:58",9732,9732.5,9731.25,9732,0.25,1151,N/A
NQH20,"02/19/2020 14:57",9731.75,9733.75,9730.5,9731.75,0,1166,N/A
NQH20,"02/19/2020 14:56",9728.75,9732.75,9728.5,9731.75,3,1181,N/A
NQH20,"02/19/2020 14:55",9730.75,9731.25,9728,9728.75,-2,1413,N/A
NQH20,"02/19/2020 14:54",9728.25,9732,9726.5,9730.75,2.25,2283,N/A
NQH20,"02/19/2020 14:53",9726.5,9728.5,9724.5,9728.5,2,1559,N/A
NQH20,"02/19/2020 14:52",9722.25,9726.75,9721.25,9726.5,4.25,1359,N/A
NQH20,"02/19/2020 14:51",9720.25,9723.75,9720,9722.25,2,1436,N/A
NQH20,"02/19/2020 14:50",9723.25,9725,9719.75,9720.25,-2.75,2525,N/A
NQH20,"02/19/2020 14:49",9726.5,9727.5,9721.5,9723,-3.25,2041,N/A
NQH20,"02/19/2020 14:48",9727.75,9728.75,9725.5,9726.25,-1.5,1011,N/A
NQH20,"02/19/2020 14:47",9727,9728.75,9726,9727.75,0.5,1122,N/A
NQH20,"02/19/2020 14:46",9728.75,9729.25,9726.5,9727.25,-1.5,624,N/A
NQH20,"02/19/2020 14:45",9727.75,9730.75,9726.75,9728.75,1,1041,N/A
NQH20,"02/19/2020 14:44",9730,9730.5,9726.75,9727.75,-2.5,804,N/A
NQH20,"02/19/2020 14:43",9729.5,9730.5,9728,9730.25,0.75,730,N/A
NQH20,"02/19/2020 14:42",9729.5,9729.75,9728,9729.5,0,499,N/A
NQH20,"02/19/2020 14:41",9727.75,9730.25,9727.25,9729.5,2,909,N/A
NQH20,"02/19/2020 14:40",9726.25,9728,9724.25,9727.5,1.5,1310,N/A
NQH20,"02/19/2020 14:39",9725.75,9727,9725.25,9726,0.5,708,N/A
NQH20,"02/19/2020 14:38",9726.75,9727.5,9725.25,9725.5,-1,675,N/A
NQH20,"02/19/2020 14:37",9726.75,9728.5,9725.75,9726.5,0,1120,N/A
NQH20,"02/19/2020 14:36",9726.5,9727.25,9725.5,9726.5,0,654,N/A
NQH20,"02/19/2020 14:35",9727,9729,9726.25,9726.5,-0.5,1657,N/A
NQH20,"02/19/2020 14:34",9731.25,9731.75,9726.5,9727,-4.25,2262,N/A
NQH20,"02/19/2020 14:33",9735.25,9735.5,9731,9731.25,-4,724,N/A
NQH20,"02/19/2020 14:32",9732.75,9736,9731.5,9735.25,2.75,862,N/A
NQH20,"02/19/2020 14:31",9733,9733.25,9731,9732.5,-0.5,807,N/A
NQH20,"02/19/2020 14:30",9733.25,9734.75,9731.75,9733,-0.25,736,N/A
NQH20,"02/19/2020 14:29",9733.25,9734,9732.75,9733.25,0,344,N/A
NQH20,"02/19/2020 14:28",9734,9734.25,9732.5,9733.25,-0.75,343,N/A
NQH20,"02/19/2020 14:27",9734.25,9734.5,9733.5,9734,0,301,N/A
NQH20,"02/19/2020 14:26",9735.75,9736,9732.5,9734,-1.5,698,N/A
NQH20,"02/19/2020 14:25",9736.5,9736.75,9735.25,9735.5,-0.75,393,N/A
NQH20,"02/19/2020 14:24",9734,9736.75,9733.75,9736.25,2.5,480,N/A
NQH20,"02/19/2020 14:23",9736.25,9736.5,9732.75,9733.75,-2.25,523,N/A
NQH20,"02/19/2020 14:22",9735.25,9736,9734.75,9736,0.5,290,N/A
NQH20,"02/19/2020 14:21",9736.5,9736.75,9734.5,9735.5,-1,538,N/A
NQH20,"02/19/2020 14:20",9736.5,9736.75,9735.25,9736.5,-0.25,449,N/A
NQH20,"02/19/2020 14:19",9736.25,9736.75,9735.75,9736.75,0.25,632,N/A
NQH20,"02/19/2020 14:18",9734,9736.5,9733.75,9736.5,2.25,711,N/A
