Time,Open,High,Low,Last,Change,Volume,"Open Int"
"10/08/2020 17:34",11578.5,11580.75,11577.25,11577.25,-0.25,56,N/A
"10/08/2020 17:33",11578.5,11578.5,11575.25,11577.5,-0.75,103,N/A
"10/08/2020 17:32",11577.75,11578.75,11576.75,11578.25,0.25,37,N/A
"10/08/2020 17:31",11579.75,11581.25,11576.5,11578,-1.75,239,N/A
"10/08/2020 17:30",11580.5,11581.5,11576.75,11579.75,-0.75,88,N/A
"10/08/2020 17:29",11579.25,11580.5,11578.25,11580.5,2.25,51,N/A
"10/08/2020 17:28",11579,11579.5,11577.25,11578.25,-0.75,37,N/A
"10/08/2020 17:27",11577.75,11579.25,11576.5,11579,0.75,29,N/A
"10/08/2020 17:26",11577.75,11578.5,11577.75,11578.25,0.5,9,N/A
"10/08/2020 17:25",11577.25,11578.25,11575,11577.75,-0.25,89,N/A
"10/08/2020 17:24",11576.5,11578.25,11576.25,11578,0.25,21,N/A
"10/08/2020 17:23",11575.75,11577.75,11575.75,11577.75,2.25,16,N/A
"10/08/2020 17:22",11575.5,11576.75,11575.5,11575.5,0,8,N/A
"10/08/2020 17:21",11574.25,11577,11574.25,11575.5,1.25,56,N/A
"10/08/2020 17:20",11578.75,11580.25,11574,11574.25,-4,309,N/A
"10/08/2020 17:19",11576.75,11584.75,11575.75,11578.25,1.75,367,N/A
"10/08/2020 17:18",11574.5,11579.5,11574,11576.5,1.25,115,N/A
"10/08/2020 17:17",11578.5,11579,11573.25,11575.25,-3.5,133,N/A
"10/08/2020 17:16",11577.75,11578.75,11576.25,11578.75,2,37,N/A
"10/08/2020 17:15",11576.25,11577.75,11575.75,11576.75,0.5,47,N/A
"10/08/2020 17:14",11578,11578.25,11576.25,11576.25,-0.75,40,N/A
"10/08/2020 17:13",11578.5,11578.75,11575.25,11577,-1.75,118,N/A
"10/08/2020 17:12",11575.75,11578.75,11575.5,11578.75,2.5,110,N/A
"10/08/2020 17:11",11572.75,11576.75,11572.75,11576.25,4.5,71,N/A
"10/08/2020 17:10",11572.75,11573.75,11570.75,11571.75,-0.25,41,N/A
"10/08/2020 17:09",11573.25,11574.25,11571.75,11572,-0.75,56,N/A
"10/08/2020 17:08",11576,11576,11572.25,11572.75,-3.5,32,N/A
"10/08/2020 17:07",11572.75,11576.25,11572.75,11576.25,3,50,N/A
"10/08/2020 17:06",11577,11577,11571.75,11573.25,-2.25,125,N/A
