Time,Open,High,Low,Last,Change,Volume,"Open Int"
NQH20,"01/20/2020 10:14",9166.5,9166.75,9166.25,9166.25,0,44,N/A
NQH20,"01/20/2020 10:13",9166.5,9166.75,9165.25,9166.25,-0.25,126,N/A
NQH20,"01/20/2020 10:12",9167,9167.25,9166.5,9166.5,-0.75,60,N/A
NQH20,"01/20/2020 10:11",9167.5,9167.5,9167.25,9167.25,-0.25,17,N/A
NQH20,"01/20/2020 10:10",9167.5,9167.75,9167.25,9167.5,0,17,N/A
NQH20,"01/20/2020 10:09",9167.25,9167.5,9167,9167.5,0,29,N/A
NQH20,"01/20/2020 10:08",9167.25,9167.5,9167,9167.5,0.25,62,N/A
NQH20,"01/20/2020 10:07",9168,9168,9167.25,9167.25,-0.5,129,N/A
NQH20,"01/20/2020 10:06",9166,9168,9165.25,9167.75,2,183,N/A
NQH20,"01/20/2020 10:05",9167,9167.5,9165.75,9165.75,-1.5,104,N/A
NQH20,"01/20/2020 10:04",9167,9167.75,9167,9167.25,0.25,53,N/A
NQH20,"01/20/2020 10:03",9167.75,9167.75,9166,9167,-0.75,223,N/A
NQH20,"01/20/2020 10:02",9168,9168.25,9167.5,9167.75,-0.25,108,N/A
NQH20,"01/20/2020 10:01",9168,9168.5,9167.75,9168,0,49,N/A
NQH20,"01/20/2020 10:00",9169,9169,9167.75,9168,-0.75,115,N/A
NQH20,"01/20/2020 09:59",9168.5,9169,9168.5,9168.75,0.25,52,N/A
NQH20,"01/20/2020 09:58",9168.5,9169.25,9168.5,9168.5,0,126,N/A
NQH20,"01/20/2020 09:57",9167.25,9168.75,9167.25,9168.5,1.25,182,N/A
NQH20,"01/20/2020 09:56",9166,9167.5,9165.5,9167.25,1.5,181,N/A
NQH20,"01/20/2020 09:55",9166.25,9166.25,9164.75,9165.75,-0.5,50,N/A
NQH20,"01/20/2020 09:54",9166,9166.5,9165.75,9166.25,0.5,24,N/A
NQH20,"01/20/2020 09:53",9165.5,9166.25,9164.5,9165.75,0.25,129,N/A
NQH20,"01/20/2020 09:52",9165.5,9165.5,9164.25,9165.5,0.25,73,N/A
NQH20,"01/20/2020 09:51",9165.75,9165.75,9165,9165.25,-0.25,86,N/A
NQH20,"01/20/2020 09:50",9164.75,9165.5,9163.5,9165.5,0.75,160,N/A
NQH20,"01/20/2020 09:49",9166.5,9166.75,9164.75,9164.75,-2,121,N/A
NQH20,"01/20/2020 09:48",9167.25,9167.25,9166.75,9166.75,-0.5,42,N/A
NQH20,"01/20/2020 09:47",9166.75,9167.5,9166.5,9167.25,0.5,70,N/A
NQH20,"01/20/2020 09:46",9166.25,9166.75,9166,9166.75,0.5,63,N/A
NQH20,"01/20/2020 09:45",9166.5,9167,9166,9166.25,-0.25,62,N/A
NQH20,"01/20/2020 09:44",9166,9166.75,9165.75,9166.5,0.5,63,N/A
NQH20,"01/20/2020 09:43",9166.75,9166.75,9166,9166,-0.5,32,N/A
NQH20,"01/20/2020 09:42",9164.75,9166.75,9164.75,9166.5,1.75,105,N/A
NQH20,"01/20/2020 09:41",9164.25,9164.75,9164.25,9164.75,0.25,30,N/A
NQH20,"01/20/2020 09:40",9166,9166,9163.75,9164.5,-1.5,139,N/A
NQH20,"01/20/2020 09:39",9165.75,9167.5,9165.75,9166,0.25,246,N/A
NQH20,"01/20/2020 09:38",9165,9165.75,9164.5,9165.75,0.75,104,N/A
NQH20,"01/20/2020 09:37",9165,9165.5,9164.25,9165,0,124,N/A
NQH20,"01/20/2020 09:36",9162.5,9165,9162.5,9165,2.5,125,N/A
NQH20,"01/20/2020 09:35",9164,9164.25,9161.25,9162.5,-1.5,545,N/A
NQH20,"01/20/2020 09:34",9166.5,9166.5,9163,9164,-2.25,579,N/A
NQH20,"01/20/2020 09:33",9167.75,9168.5,9166,9166.25,-1.5,350,N/A
NQH20,"01/20/2020 09:32",9169.25,9169.5,9167.75,9167.75,-1.25,254,N/A
NQH20,"01/20/2020 09:31",9169.75,9169.75,9168.25,9169,-1,142,N/A
