Time,Open,High,Low,Last,Change,Volume,"Open Int"
NQU20,"07/10/2020 01:46",10666.75,10666.75,10663.75,10664.25,-2.75,149,N/A
NQU20,"07/10/2020 01:45",10668,10671.25,10665.5,10667,-1.25,162,N/A
NQU20,"07/10/2020 01:44",10667,10668.75,10664.75,10668.25,1.25,71,N/A
NQU20,"07/10/2020 01:43",10668.75,10669.5,10664.75,10667,-2,106,N/A
NQU20,"07/10/2020 01:42",10671.25,10672.5,10663.25,10669,-1.75,178,N/A
NQU20,"07/10/2020 01:41",10670,10671.5,10669.5,10670.75,0.75,20,N/A
NQU20,"07/10/2020 01:40",10669.25,10671.5,10668.5,10670,1.25,134,N/A
NQU20,"07/10/2020 01:39",10666.25,10669.5,10665.75,10668.75,1.75,113,N/A
NQU20,"07/10/2020 01:38",10667.75,10669,10667,10667,-0.5,50,N/A
NQU20,"07/10/2020 01:37",10669.25,10669.75,10667.25,10667.5,-0.75,67,N/A
NQU20,"07/10/2020 01:36",10664.25,10669.75,10662.75,10668.25,4.5,120,N/A
NQU20,"07/10/2020 01:35",10664.25,10665.75,10663,10663.75,-0.75,66,N/A
NQU20,"07/10/2020 01:34",10663.5,10665.5,10662,10664.5,0.75,159,N/A
NQU20,"07/10/2020 01:33",10668.5,10668.5,10662.75,10663.75,-4.25,68,N/A
NQU20,"07/10/2020 01:32",10664.75,10669,10664.75,10668,2.75,74,N/A
NQU20,"07/10/2020 01:31",10668.5,10669.5,10663.5,10665.25,-3.75,134,N/A
NQU20,"07/10/2020 01:30",10669.5,10672,10667.25,10669,-1,134,N/A
NQU20,"07/10/2020 01:29",10668.25,10671.5,10667.25,10670,2,136,N/A
NQU20,"07/10/2020 01:28",10667.5,10670.25,10667.5,10668,0.5,88,N/A
NQU20,"07/10/2020 01:27",10667.75,10668.75,10666.75,10667.5,0,50,N/A
NQU20,"07/10/2020 01:26",10666.25,10669,10665.25,10667.5,1,121,N/A
NQU20,"07/10/2020 01:25",10663.25,10668,10663,10666.5,3.75,149,N/A
NQU20,"07/10/2020 01:24",10660.25,10664,10660.25,10662.75,2,139,N/A
NQU20,"07/10/2020 01:23",10661,10661.25,10659.5,10660.75,0.25,78,N/A
NQU20,"07/10/2020 01:22",10661.75,10664,10660.5,10660.5,-0.75,81,N/A
NQU20,"07/10/2020 01:21",10659.75,10663,10659.5,10661.25,1.5,124,N/A
NQU20,"07/10/2020 01:20",10656,10661.25,10655.75,10659.75,3.75,258,N/A
NQU20,"07/10/2020 01:19",10658.75,10660.5,10655.5,10656,-2.5,210,N/A
NQU20,"07/10/2020 01:18",10665.5,10666.5,10658.25,10658.5,-7.5,468,N/A
NQU20,"07/10/2020 01:17",10669.5,10671.25,10666,10666,-3.5,179,N/A
NQU20,"07/10/2020 01:16",10671.25,10671.25,10667,10669.5,-1.75,363,N/A
NQU20,"07/10/2020 01:15",10671.25,10674,10671,10671.25,0,102,N/A
NQU20,"07/10/2020 01:14",10674.75,10674.75,10670,10671.25,-3.5,204,N/A
NQU20,"07/10/2020 01:13",10673.75,10676.25,10673.75,10674.75,0.25,81,N/A
NQU20,"07/10/2020 01:12",10676,10676.5,10674,10674.5,-2,99,N/A
NQU20,"07/10/2020 01:11",10678.5,10679.5,10674.25,10676.5,-2.5,195,N/A
NQU20,"07/10/2020 01:10",10679,10680.25,10677.75,10679,-0.75,106,N/A
NQU20,"07/10/2020 01:09",10676.75,10679.75,10676.25,10679.75,3,166,N/A
NQU20,"07/10/2020 01:08",10676.25,10678,10675,10676.75,0.5,95,N/A
NQU20,"07/10/2020 01:07",10674.25,10676.75,10673.25,10676.25,2,176,N/A
NQU20,"07/10/2020 01:06",10670.5,10677.25,10670.5,10674.25,3.5,225,N/A
NQU20,"07/10/2020 01:05",10672.5,10673.25,10669.25,10670.75,-2,130,N/A
NQU20,"07/10/2020 01:04",10671,10672.75,10670.25,10672.75,1.75,172,N/A
NQU20,"07/10/2020 01:03",10674,10674,10668.25,10671,-2.75,169,N/A
NQU20,"07/10/2020 01:02",10672.75,10675,10672.5,10673.75,1,203,N/A
NQU20,"07/10/2020 01:01",10665.25,10675.25,10665.25,10672.75,7.75,391,N/A
NQU20,"07/10/2020 01:00",10661,10665,10660.75,10665,5.5,176,N/A
NQU20,"07/10/2020 00:59",10664.25,10665,10659.5,10659.5,-4.75,66,N/A
NQU20,"07/10/2020 00:58",10663.25,10665.5,10661.25,10664.25,1.25,74,N/A
NQU20,"07/10/2020 00:57",10660,10663.5,10660,10663,3,125,N/A
NQU20,"07/10/2020 00:56",10660.25,10661,10659.25,10660,-0.5,103,N/A
NQU20,"07/10/2020 00:55",10665.25,10665.5,10660.5,10660.5,-5,134,N/A
NQU20,"07/10/2020 00:54",10663.5,10665.5,10663.25,10665.5,2,94,N/A
NQU20,"07/10/2020 00:53",10663,10663.75,10660.25,10663.5,0.5,58,N/A
NQU20,"07/10/2020 00:52",10660.75,10664.25,10658.25,10663,2,111,N/A
NQU20,"07/10/2020 00:51",10660.75,10663.75,10660.75,10661,0.25,79,N/A
NQU20,"07/10/2020 00:50",10661.5,10662,10658.5,10660.75,-0.5,61,N/A
NQU20,"07/10/2020 00:49",10660.75,10662.25,10658.25,10661.25,1,57,N/A
NQU20,"07/10/2020 00:48",10661.75,10662,10660.25,10660.25,-1,43,N/A
NQU20,"07/10/2020 00:47",10661.25,10662.75,10660,10661.25,0.25,70,N/A
NQU20,"07/10/2020 00:46",10661.25,10663.25,10660.75,10661,0,106,N/A
NQU20,"07/10/2020 00:45",10657.5,10662.75,10657.5,10661,3.75,186,N/A
NQU20,"07/10/2020 00:44",10656,10657.25,10655.5,10657.25,1.25,64,N/A
NQU20,"07/10/2020 00:43",10654.5,10657.75,10653.75,10656,2.25,171,N/A
NQU20,"07/10/2020 00:42",10656,10656,10653.75,10653.75,-2.25,119,N/A
NQU20,"07/10/2020 00:41",10655.25,10656.5,10654.5,10656,1,136,N/A
NQU20,"07/10/2020 00:40",10653.25,10656.5,10653.25,10655,1.25,202,N/A
NQU20,"07/10/2020 00:39",10653.75,10654.5,10650.25,10653.75,0.25,432,N/A
NQU20,"07/10/2020 00:38",10655,10656.25,10652.75,10653.5,-1.5,243,N/A
NQU20,"07/10/2020 00:37",10654,10655.5,10652.5,10655,0.75,189,N/A
NQU20,"07/10/2020 00:36",10659,10659,10653.5,10654.25,-5,222,N/A
NQU20,"07/10/2020 00:35",10664.5,10665,10658.5,10659.25,-5,173,N/A
NQU20,"07/10/2020 00:34",10663,10665.25,10662.75,10664.25,1.25,54,N/A
NQU20,"07/10/2020 00:33",10665.25,10665.25,10656.75,10663,-1.75,364,N/A
NQU20,"07/10/2020 00:32",10669.25,10669.75,10664.75,10664.75,-4.25,83,N/A
NQU20,"07/10/2020 00:31",10668.5,10670.75,10667.25,10669,-0.25,142,N/A
NQU20,"07/10/2020 00:30",10673,10673,10665,10669.25,-3.5,219,N/A
NQU20,"07/10/2020 00:29",10672.5,10674.5,10672.5,10672.75,0.25,66,N/A
NQU20,"07/10/2020 00:28",10672.25,10672.5,10670.75,10672.5,0.25,72,N/A
NQU20,"07/10/2020 00:27",10672.5,10674,10672,10672.25,-0.25,56,N/A
NQU20,"07/10/2020 00:26",10673.75,10674,10670.75,10672.5,-1,107,N/A
NQU20,"07/10/2020 00:25",10671.5,10674.25,10671.5,10673.5,2.5,88,N/A
NQU20,"07/10/2020 00:24",10669.25,10672,10669,10671,2.25,114,N/A
NQU20,"07/10/2020 00:23",10671.25,10672,10668,10668.75,-2.5,138,N/A
NQU20,"07/10/2020 00:22",10668.25,10672.75,10668.25,10671.25,3.25,275,N/A
NQU20,"07/10/2020 00:21",10662.75,10669,10662.5,10668,5,208,N/A
NQU20,"07/10/2020 00:20",10660.5,10663,10659,10663,1.75,278,N/A
NQU20,"07/10/2020 00:19",10665.25,10666.5,10660.5,10661.25,-4.25,127,N/A
NQU20,"07/10/2020 00:18",10664.5,10665.5,10662,10665.5,0.75,121,N/A
NQU20,"07/10/2020 00:17",10666.5,10667.25,10663.75,10664.75,-2.25,196,N/A
NQU20,"07/10/2020 00:16",10669,10669.5,10666.5,10667,-1.75,106,N/A
NQU20,"07/10/2020 00:15",10668.25,10670,10666.5,10668.75,0,96,N/A
NQU20,"07/10/2020 00:14",10669.5,10669.75,10668.25,10668.75,-0.75,59,N/A
NQU20,"07/10/2020 00:13",10670,10671.25,10668.75,10669.5,-0.75,57,N/A
NQU20,"07/10/2020 00:12",10667.75,10670.25,10667.75,10670.25,2.75,88,N/A
NQU20,"07/10/2020 00:11",10667,10670,10665.25,10667.5,0,147,N/A
NQU20,"07/10/2020 00:10",10670,10672.25,10666.5,10667.5,-3.5,211,N/A
NQU20,"07/10/2020 00:09",10669.25,10671,10668.5,10671,1.25,97,N/A
NQU20,"07/10/2020 00:08",10676.75,10677,10668,10669.75,-7.25,114,N/A
NQU20,"07/10/2020 00:07",10674,10677,10673.75,10677,2.5,48,N/A
NQU20,"07/10/2020 00:06",10673.5,10676.75,10669.5,10674.5,0.5,210,N/A
NQU20,"07/10/2020 00:05",10675,10675.75,10672.75,10674,-1.25,95,N/A
NQU20,"07/10/2020 00:04",10676.25,10677.5,10674.5,10675.25,-1.5,120,N/A
NQU20,"07/10/2020 00:03",10678.25,10678.25,10674,10676.75,-1,133,N/A
NQU20,"07/10/2020 00:02",10676.75,10679.75,10675.75,10677.75,0,114,N/A
NQU20,"07/10/2020 00:01",10677.5,10680.25,10672.5,10677.75,0,336,N/A
NQU20,"07/10/2020 00:00",10681.5,10683.5,10677,10677.75,-4.25,230,N/A
NQU20,"07/09/2020 23:59",10683.25,10684.5,10678.25,10682,-1,249,N/A
NQU20,"07/09/2020 23:58",10688,10688.25,10682,10683,-5.25,126,N/A
NQU20,"07/09/2020 23:57",10688.25,10689.75,10688.25,10688.25,0.25,19,N/A
NQU20,"07/09/2020 23:56",10687.25,10688.75,10687.25,10688,0.25,21,N/A
NQU20,"07/09/2020 23:55",10687.75,10688.5,10686,10687.75,-0.75,45,N/A
NQU20,"07/09/2020 23:54",10688.5,10688.75,10686.75,10688.5,0,40,N/A
NQU20,"07/09/2020 23:53",10688.5,10688.5,10687.5,10688.5,0.5,16,N/A
NQU20,"07/09/2020 23:52",10688.25,10689,10687.25,10688,-0.5,24,N/A
NQU20,"07/09/2020 23:51",10686.75,10689.25,10686,10688.5,2,63,N/A
NQU20,"07/09/2020 23:50",10690.25,10690.75,10685.5,10686.5,-4,221,N/A
NQU20,"07/09/2020 23:49",10695.25,10695.25,10690.5,10690.5,-4,65,N/A
NQU20,"07/09/2020 23:48",10695.75,10695.75,10694.5,10694.5,-1,36,N/A
NQU20,"07/09/2020 23:47",10693.25,10696.25,10693.25,10695.5,2.25,31,N/A
NQU20,"07/09/2020 23:46",10692.5,10694,10692,10693.25,0.75,30,N/A
NQU20,"07/09/2020 23:45",10692.5,10694.25,10692,10692.5,0.5,19,N/A
NQU20,"07/09/2020 23:44",10694,10694,10690.75,10692,-1.75,37,N/A
NQU20,"07/09/2020 23:43",10694,10694,10690.75,10693.75,0.5,36,N/A
NQU20,"07/09/2020 23:42",10694.25,10694.25,10692.75,10693.25,-0.5,5,N/A
NQU20,"07/09/2020 23:41",10694.5,10695.25,10693,10693.75,-1.5,25,N/A
NQU20,"07/09/2020 23:40",10695,10695.5,10694.25,10695.25,0.5,63,N/A
NQU20,"07/09/2020 23:39",10693.75,10694.75,10693.25,10694.75,0.75,34,N/A
